Type;Medium;Title;Year;Director;Seen;Franchise;Franchise Complete;Length;Genre;Cast;Crew
Movie;BluRay;Thor: Ragnarok;2017;Taika Waititi;YES;YES;NO;130;;;
Movie;BluRay;Tomb Raider;2018;Roar Uthaug;YES;NO;;118;;;
Movie;DVD;Top Gun;1986;Tony Scott;NO;YES;NO;105;;;
Movie;DVD;Toy Story;1995;John Lasseter;YES;YES;NO;78;;;
Movie;DVD;Toy Story 2;1999;John Lasseter;YES;YES;NO;89;;;
Movie;DVD;Toy Story 3;2010;Lee Unkrich;YES;YES;NO;98;;;
Movie;DVD;Trolls;2016;Mike Mitchell;YES;YES;NO;88;;;
Movie;DVD;True Grit;2010;Ethan Coen, Joel Coen;YES;NO;;106;;;
Movie;DVD;Unbreakable;2000;M. Night Shyamalan;YES;YES;YES;102;;;
Movie;DVD;Up in the Air;2009;Jason Reitman;YES;NO;;105;;;
Movie;DVD;Us;2019;Jordan Peele;YES;NO;;111;;;
Movie;DVD;Venom;2018;Ruben Fleischer;YES;YES;NO;108;;;
Movie;DVD;Vice;2018;Adam McKay;YES;NO;;129;;;
Movie;DVD;Waking Ned Devine;1998;Kirk Jones;YES;NO;;87;;;
Movie;BluRay;War for the Planet of the Apes;2017;Matt Reeves;YES;YES;NO;140;;;
Series;DVD;Watchmen;2019;Damon Lindelof;YES;NO;;56;;;
Movie;DVD;We're the Millers;2013;Rawson Marshall Thurber;YES;NO;;106;;;
Movie;DVD;Where'd you go, Bernadette;2019;Richard Linklater;YES;NO;;105;;;
Movie;BluRay;Whiplash;2014;Damien Chazelle;YES;NO;;107;;;
Movie;DVD;Whiskey Tango Foxtrot;2016;Glenn Ficarra, John Requa;YES;NO;;107;;;
Movie;DVD;Who Am I;2014;Baran bo Odar;YES;NO;;102;;;
Movie;DVD;Widows;2018;Steve McQueen;YES;NO;;124;;;
Movie;BluRay;Winchester;2018;Michael Spierig, Peter Spierig;NO;NO;;109;;;
Movie;DVD;Wind River;2017;Taylor Sheridan;NO;NO;;103;;;
Movie;DVD;Wonder Woman;2017;Patty Jenkins;YES;YES;YES;135;;;
Movie;BluRay;Wonder Woman 1984;2020;Patty Jenkins;NO;YES;YES;153;;;
Movie;DVD;World War Z;2013;Marc Forster;YES;NO;;112;;;
Movie;DVD;X-Men;2000;Bryan Singer;YES;YES;YES;100;;;
Movie;DVD;X-Men United;2003;Bryan Singer;YES;YES;YES;128;;;
Movie;DVD;X-Men: Apocalypse;2016;Bryan Singer;YES;YES;YES;138;;;
Movie;DVD;X-Men: Dark Pheonix;2019;Simon Kinberg;YES;YES;YES;109;;;
Movie;DVD;X-Men: Days of Future Past;2014;Bryan Singer;YES;YES;YES;126;;;
Movie;DVD;X-Men: First Class;2011;Matthew Vaughn;YES;YES;YES;126;;;
Movie;DVD;X-Men: The Last Stand;2006;Brett Ratner;YES;YES;YES;100;;;
Movie;BluRay;Z for Zachariah;2015;Craig Zobel;YES;NO;;98;;;
Movie;BluRay;Zero Dark Thirty;2012;Kathryn Bigelow;YES;NO;;157;;;
Movie;DVD;Zombieland;2009;Ruben Fleischer;YES;YES;YES;84;;;
Movie;BluRay;Zombieland: Double Tap;2019;Ruben Fleischer;YES;YES;YES;99;;;
Movie;DVD;Zootopia;2016;Byron Howard, Rich Moore;YES;NO;;104;;;
