Type;Medium;Title;Year;Director;Seen;Franchise;Franchise Complete;Length;Genre;Cast;Crew
Movie;DVD;Focus;2015;Glenn Ficarra, John Requa;YES;NO;;100;;;
Movie;DVD;Frank Sinatra: King of Swing;2019;Joseph Peveney, Lewis Allen, Richard Whorf;NO;NO;;340;;;
Movie;BluRay;Free Guy;2021;Shawn Levy;YES;NO;;115;;;
Movie;DVD;Frozen;2013;Chris Buck, Jennifer Lee;YES;YES;YES;98;;;
Movie;BluRay;Frozen II;2019;Chris Buck, Jennifer Lee;YES;YES;YES;103;;;
Movie;DVD;Get Out;2017;Jordan Peele;YES;NO;;100;;;
Movie;BluRay;Glass;2019;M. Night Shyamalan;YES;YES;YES;130;;;
Movie;DVD;Gone Girl;2014;David Fincher;YES;NO;;143;;;
Movie;DVD;Good Will Hunting;1997;Gus Van Sant;NO;NO;;121;;;
Movie;DVD;Goodbye Christopher Robin;2017;Simon Curtis;YES;NO;;103;;;
Movie;DVD;Gravity;2013;Alfonso Cuarón;YES;NO;;87;;;
Movie;BluRay;Hacksaw Ridge;2016;Mel Gibson;YES;NO;;139;;;
Movie;BluRay;Hail, Caesar!;2016;Ethan Coen, Joel Coen;NO;NO;;106;;;
Movie;DVD;Hanna;2011;Joe Wright;YES;NO;;107;;;
Movie;BluRay;Hans Zimmer: Live in Prague;2017;Tim Van Someren;NO;NO;;138;;;
Movie;DVD;Happiest Season;2020;Clea DuVall;YES;NO;;98;;;
Movie;DVD;Harry Potter and the Chamber of Secrets;2002;Chris Columbus;YES;YES;YES;153;;;
Movie;DVD;Harry Potter and the Deathly Hallows - Part 1;2010;David Yates;YES;YES;YES;140;;;
Movie;DVD;Harry Potter and the Deathly Hallows - Part 2;2011;David Yates;YES;YES;YES;125;;;
Movie;DVD;Harry Potter and the Goblet of Fire;2005;Mike Newell;YES;YES;YES;151;;;
Movie;DVD;Harry Potter and the Half-Blood Prince;2009;David Yates;YES;YES;YES;147;;;
Movie;DVD;Harry Potter and the Order of the Pheonix;2007;David Yates;YES;YES;YES;133;;;
Movie;DVD;Harry Potter and the Philosopher's Stone;2001;Chris Columbus;YES;YES;YES;147;;;
Movie;DVD;Harry Potter and the Prisoner of Azkaban;2004;Alfonso Cuarón;YES;YES;YES;136;;;
Movie;BluRay;Hereditary;2018;Ari Aster;YES;NO;;127;;;
Movie;BluRay;Hidden Figures;2016;Theodore Melfi;YES;NO;;127;;;
Series;DVD;House [Season 1];2006;David Shore;YES;YES;YES;40;;;
Series;DVD;House [Season 2];2007;David Shore;YES;YES;YES;40;;;
Series;DVD;House [Season 3];2008;David Shore;YES;YES;YES;40;;;
Series;DVD;House [Season 4];2008;David Shore;YES;YES;YES;40;;;
Series;DVD;House [Season 5];2010;David Shore;YES;YES;YES;40;;;
Series;DVD;House [Season 6];2011;David Shore;YES;YES;YES;40;;;
Series;DVD;House [Season 7];2011;David Shore;YES;YES;YES;40;;;
Series;DVD;House [Season 8];2012;David Shore;YES;YES;YES;40;;;
Series;DVD;House of Cards [Season 1];2013;Michael Dobbs, Andrew Davies, Beau Willimon;NO;YES;NO;60;;;
Movie;DVD;House of Gucci;2021;Ridley Scott;YES;NO;;152;;;
Movie;DVD;Hustlers;2019;Lorene Scafaria;YES;NO;;107;;;
Movie;BluRay;I, Tonya;2017;Craig Gillespie;YES;NO;;120;;;
Movie;DVD;In Time;2011;Andrew Niccol;YES;NO;;105;;;
Movie;BluRay;Inception;2010;Christopher Nolan;YES;NO;;148;;;
